Model,Resampling,SNS,SNS STD,PRE,PRE STD,F1,F1 STD,SPC,SPC STD,GMN,GMN STD
SVM,IHT,0.847109395,0.02051051,0.906319522,0.012639727,0.863228676,0.017711359,0.995123933,0.000802283,0.918073349,0.011283388
SVM,NearMiss,0.840503358,0.024666413,0.900546326,0.003996145,0.854240716,0.020131753,0.994612122,0.00044566,0.914217552,0.013595991
SVM,OSS,0.857602998,0.023801796,0.881350515,0.024843345,0.854172119,0.032360372,0.992550812,0.002581824,0.922537374,0.013983585
SVM,TomL,0.934667967,0.011498251,0.935472859,0.013829528,0.933444144,0.012767333,0.996437078,0.000685092,0.965042029,0.006218385
LRC,CluCen,0.936014963,0.012225194,0.942946437,0.010118114,0.937217387,0.01216538,0.997032647,0.000667196,0.966023504,0.006581878
LRC,ConNN,0.858176661,0.027670242,0.881629291,0.015298638,0.863699251,0.022601659,0.993860929,0.001180841,0.92341492,0.015199797
LRC,RUS,0.908782505,0.016878363,0.92914478,0.011164392,0.912970375,0.015903164,0.996360358,0.000606859,0.951525944,0.009103629
LRC,NCR,0.934938992,0.010974273,0.932620477,0.011406558,0.930256966,0.011870169,0.996215796,0.000571419,0.965075913,0.005888228
LRC,EdNN,0.926192903,0.008926926,0.923132257,0.010184866,0.918766558,0.011444058,0.995559354,0.0008063,0.960239935,0.004886861
LRC,AllKNN,0.937264107,0.010206226,0.93718489,0.009589087,0.933939617,0.010618272,0.996330473,0.000604377,0.966333116,0.005499239
LRC,ReEdNN,0.926192903,0.008926926,0.923132257,0.010184866,0.918766558,0.011444058,0.995559354,0.0008063,0.960239935,0.004886861
LRC,IHT,0.856000196,0.017503078,0.904686199,0.01386496,0.867130329,0.015115243,0.994861844,0.000792103,0.922776009,0.009589878
LRC,NearMiss,0.848842759,0.025104253,0.90248926,0.006450338,0.858950647,0.021663414,0.994721673,0.00056532,0.918791989,0.013865708
LRC,OSS,0.86215257,0.051962439,0.875687017,0.037267313,0.849643112,0.059214706,0.992732933,0.002407386,0.924752111,0.028769417
