Model,Resampling,Oversampling Quantity,SNS,SNS STD,PRE,PRE STD,F1,F1 STD,SPC,SPC STD,GMN,GMN STD
LDA,BorderlineSMOTE-2,80%,0.893628612,0.002146198,0.913864268,0.003026215,0.896862858,0.00279146,0.995663552,0.000295622,0.943266784,0.001181444
LDA,BorderlineSMOTE-2,90%,0.890073991,0.004305872,0.910260578,0.005054172,0.893170905,0.005027158,0.995479756,0.000375267,0.941300137,0.00239713
LDA,BorderlineSMOTE-2,100%,0.890483733,0.003284264,0.911297887,0.001099259,0.893453217,0.003230613,0.99543275,0.000228794,0.941495466,0.001754827
LDA,SMOTETomek,0%,0.91194966,0.004155951,0.917129098,0.004692305,0.912970287,0.004382425,0.995229281,0.000398082,0.952677747,0.00231967
LDA,SMOTETomek,10%,0.910309382,0.005896397,0.91815333,0.005189568,0.912358761,0.0056161,0.995465806,0.000335506,0.951931151,0.003182902
LDA,SMOTETomek,20%,0.908394759,0.002122051,0.919633625,0.001774086,0.911256155,0.001832085,0.995715994,0.000201724,0.951053107,0.001143114
LDA,SMOTETomek,30%,0.90661815,0.003483508,0.920648852,0.002657305,0.910332366,0.003542229,0.995861113,0.000272532,0.950190738,0.001838432
LDA,SMOTETomek,40%,0.904293223,0.004552691,0.920662639,0.003112502,0.90846517,0.003794387,0.995919068,0.000242847,0.948998003,0.00240103
LDA,SMOTETomek,50%,0.904702965,0.002481719,0.921749084,0.001178048,0.90921261,0.002378641,0.996014492,9.69E-05,0.949260577,0.001330124
LDA,SMOTETomek,60%,0.903062313,0.001919789,0.922796561,0.002245045,0.908199118,0.001953752,0.996125818,0.000165206,0.948452843,0.001075079
LDA,SMOTETomek,70%,0.903609228,0.001576526,0.922955408,0.002639085,0.908792049,0.001715837,0.996136276,0.000228696,0.948745172,0.000928928
LDA,SMOTETomek,80%,0.904566914,0.001514198,0.924428996,0.002295722,0.909820021,0.001125141,0.996194171,0.000145303,0.949275302,0.000764273
